country_code_alpha_three,year,temp_change_celsius
AUT,2013,1.103
AUT,2014,2.427
AUT,2015,2.183
AUT,2016,2.111
AUT,2017,1.753
AUT,2018,2.535
AUT,2019,2.369
AUT,2020,2.32
AZE,1992,-0.823
AZE,1993,-1.003
AZE,1994,0.105
AZE,1995,1.023
AZE,1996,0.259
AZE,1997,0.606
AZE,1998,1.204
AZE,1999,1.242
AZE,2000,1.115
AZE,2001,1.425
AZE,2002,1.416
AZE,2003,-0.125
AZE,2004,1.331
AZE,2005,0.879
AZE,2006,1.528
AZE,2007,0.98
AZE,2008,0.928
AZE,2009,0.799
AZE,2010,2.356
AZE,2011,0.768
AZE,2012,1.475
AZE,2013,1.565
AZE,2014,1.242
AZE,2015,1.667
AZE,2016,1.455
AZE,2017,1.306
AZE,2018,2.252
AZE,2019,2.012
AZE,2020,2.038
BHS,1970,-0.425
BHS,1971,-0.036
BHS,1972,0.327
BHS,1973,0.178
BHS,1974,-0.048
BHS,1975,0.343
BHS,1976,-0.356
BHS,1977,-0.022
BHS,1978,0.063
BHS,1979,0.15
BHS,1980,0.369
BHS,1981,-0.037
BHS,1982,0.524
BHS,1983,0.201
BHS,1984,0.082
BHS,1985,0.301
BHS,1986,0.291
BHS,1987,0.524
BHS,1988,0.49
BHS,1989,0.731
BHS,1990,0.832
BHS,1991,0.845
BHS,1992,0.349
BHS,1993,0.439
BHS,1994,0.862
BHS,1995,0.736
BHS,1996,0.084
BHS,1997,0.859
BHS,1998,1.011
BHS,1999,0.704
BHS,2000,0.29
BHS,2001,0.229
BHS,2002,0.952
BHS,2003,1.096
BHS,2004,0.42
BHS,2005,0.48
BHS,2006,0.424
BHS,2007,0.973
BHS,2008,0.893
BHS,2009,0.494
BHS,2010,0.399
BHS,2011,0.453
BHS,2012,0.452
BHS,2013,0.677
BHS,2014,0.994
BHS,2015,1.23
BHS,2016,1.164
BHS,2017,1.456
BHS,2018,1.168
BHS,2019,1.585
BHS,2020,1.693
BHR,1970,0.216
BHR,1971,-0.284
BHR,1972,-0.609
BHR,1973,-0.275
BHR,1974,-0.277
BHR,1975,-0.267
BHR,1976,-0.561
BHR,1977,0.267
BHR,1978,0.027
BHR,1979,0.779
BHR,1980,0.269
BHR,1981,0.319
BHR,1982,-0.214
BHR,1983,-0.988
BHR,1984,-0.12
BHR,1985,0.215
BHR,1986,0.505
BHR,1987,0.374
BHR,1988,0.452
BHR,1989,-0.139
BHR,1990,0.164
BHR,1991,-0.442
BHR,1992,-0.739
BHR,1993,-0.074
BHR,1994,0.792
BHR,1995,0.038
BHR,1996,0.476
BHR,1997,0.152
BHR,1998,1.205
BHR,1999,1.882
BHR,2000,1.05
BHR,2001,1.136
BHR,2002,1.492
BHR,2003,1.157
BHR,2004,1.274
BHR,2005,0.945
BHR,2006,1.682
BHR,2007,0.885
BHR,2008,1.127
BHR,2009,1.017
BHR,2010,1.993
BHR,2011,1.207
BHR,2012,1.152
BHR,2013,1.274
BHR,2014,1.67
BHR,2015,2.212
BHR,2016,1.489
BHR,2017,1.95
BHR,2018,2.11
BHR,2019,1.986
BHR,2020,1.982
BGD,1970,-0.031
BGD,1971,-0.586
BGD,1972,0.011
BGD,1973,0.15
BGD,1974,-0.14
BGD,1975,-0.106
BGD,1976,-0.108
BGD,1977,-0.275
BGD,1978,-0.237
BGD,1979,0.477
BGD,1980,0.129
BGD,1981,-0.208
BGD,1982,-0.062
BGD,1983,-0.15
BGD,1984,-0.332
BGD,1985,0.047
BGD,1986,0.027
BGD,1987,0.33
BGD,1988,0.328
BGD,1989,0.094
BGD,1990,-0.167
BGD,1991,-0.021
BGD,1992,-0.115
BGD,1993,-0.403
BGD,1994,0.203
BGD,1995,0.176
BGD,1996,0.146
BGD,1997,-0.158
BGD,1998,0.486
BGD,1999,0.74
BGD,2000,0.209
BGD,2001,0.339
BGD,2002,0.4
BGD,2003,0.251
BGD,2004,0.291
BGD,2005,0.631
BGD,2006,0.845
BGD,2007,0.337
BGD,2008,0.129
BGD,2009,0.915
BGD,2010,0.849
BGD,2011,0.176
BGD,2012,0.343
BGD,2013,0.267
BGD,2014,0.482
BGD,2015,0.699
BGD,2016,1.273
BGD,2017,1.085
BGD,2018,0.866
BGD,2019,1.109
BGD,2020,0.915
BRB,1970,0.134
BRB,1971,-0.11
BRB,1972,0.058
BRB,1973,0.085
BRB,1974,-0.245
BRB,1975,-0.463
BRB,1976,-0.339
BRB,1977,0.059
BRB,1978,0.374
BRB,1979,0.178
BRB,1980,0.357
BRB,1981,0.065
BRB,1982,-0.077
BRB,1983,0.051
BRB,1984,-0.266
BRB,1985,-0.453
BRB,1986,-0.327
BRB,1987,0.371
BRB,1988,0.229
BRB,1989,0.058
BRB,1990,0.198
BRB,1991,0.263
BRB,1992,0.183
BRB,1993,0.256
BRB,1994,0.261
BRB,1995,0.384
BRB,1996,0.257
BRB,1997,0.287
BRB,1998,1.103
BRB,1999,0.498
BRB,2000,0.349
BRB,2001,0.563
BRB,2002,0.531
BRB,2003,0.781
BRB,2004,0.564
BRB,2005,0.998
BRB,2006,0.723
BRB,2007,0.573
BRB,2008,0.227
BRB,2009,0.357
BRB,2010,1.091
BRB,2011,0.615
BRB,2012,0.432
BRB,2013,0.786
BRB,2014,0.447
BRB,2015,0.983
BRB,2016,
BRB,2017,
BRB,2018,0.775
BRB,2019,1.111
BRB,2020,1.033
BLR,1992,1.271
BLR,1993,0.023
BLR,1994,1.139
BLR,1995,1.498
BLR,1996,-0.276
BLR,1997,0.358
BLR,1998,0.704
BLR,1999,1.504
BLR,2000,1.94
BLR,2001,1.977
BLR,2002,1.891
BLR,2003,0.08
BLR,2004,0.926
BLR,2005,1.271
BLR,2006,0.642
BLR,2007,2.357
BLR,2008,2.247
BLR,2009,1.593
BLR,2010,1.434
BLR,2011,0.989
BLR,2012,1.526
BLR,2013,1.169
BLR,2014,2.137
BLR,2015,2.211
BLR,2016,2.168
BLR,2017,1.562
BLR,2018,2.31
BLR,2019,2.65
BLR,2020,3.476
BEL,2000,1.468
BEL,2001,1.317
BEL,2002,1.378
BEL,2003,1.505
BEL,2004,1.07
BEL,2005,1.178
BEL,2006,1.379
BEL,2007,1.864
BEL,2008,1.238
BEL,2009,1.142
BEL,2010,0.215
BEL,2011,1.268
BEL,2012,1.113
BEL,2013,0.449
BEL,2014,2.399
BEL,2015,1.35
BEL,2016,1.861
BEL,2017,1.695
BEL,2018,2.151
BEL,2019,2.038
BEL,2020,2.528
LUX,1970,-0.471
LUX,1971,-0.02
LUX,1972,-0.177
LUX,1973,0.178
LUX,1974,0.163
LUX,1975,0.939
LUX,1976,0.745
LUX,1977,0.143
LUX,1978,-0.278
LUX,1979,-0.635
LUX,1980,-0.048
LUX,1981,0.191
LUX,1982,0.507
LUX,1983,0.836
LUX,1984,-0.037
LUX,1985,-0.817
LUX,1986,-0.134
LUX,1987,-0.408
LUX,1988,0.742
LUX,1989,1.432
LUX,1990,1.48
LUX,1991,0.25
LUX,1992,1.004
LUX,1993,0.349
LUX,1994,1.591
LUX,1995,1.488
LUX,1996,-0.512
LUX,1997,0.666
LUX,1998,1.012
LUX,1999,1.428
BLZ,1970,-0.218
BLZ,1971,-0.207
BLZ,1972,0.51
BLZ,1973,0.408
BLZ,1974,0.104
BLZ,1975,-0.007
BLZ,1976,-0.371
BLZ,1977,0.13
BLZ,1978,-0.006
BLZ,1979,0.545
BLZ,1980,0.555
BLZ,1981,-0.049
BLZ,1982,0.568
BLZ,1983,0.723
BLZ,1984,0.233
BLZ,1985,0.526
BLZ,1986,0.182
BLZ,1987,0.402
BLZ,1988,0.534
BLZ,1989,0.272
BLZ,1990,0.434
BLZ,1991,0.613
BLZ,1992,0.324
BLZ,1993,0.345
BLZ,1994,0.639
BLZ,1995,0.665
BLZ,1996,0.126
BLZ,1997,0.791
BLZ,1998,0.827
BLZ,1999,0.313
BLZ,2000,0.041
BLZ,2001,0.305
BLZ,2002,0.611
BLZ,2003,0.833
BLZ,2004,0.582
BLZ,2005,0.724
BLZ,2006,0.526
BLZ,2007,0.727
BLZ,2008,0.453
BLZ,2009,0.793
BLZ,2010,0.711
BLZ,2011,0.588
BLZ,2012,0.508
BLZ,2013,0.648
BLZ,2014,0.616
BLZ,2015,1.385
BLZ,2016,1.25
BLZ,2017,1.144
BLZ,2018,0.612
BLZ,2019,1.309
BLZ,2020,1.511
BEN,1970,0.343
BEN,1971,-0.146
BEN,1972,0.105
BEN,1973,0.655
BEN,1974,0.05
BEN,1975,-0.296
BEN,1976,-0.191
BEN,1977,0.379
BEN,1978,-0.011
BEN,1979,0.543
BEN,1980,0.455
BEN,1981,0.208
BEN,1982,0.26
BEN,1983,0.564
BEN,1984,0.575
BEN,1985,0.458
BEN,1986,0.37
BEN,1987,1.039
BEN,1988,0.695
BEN,1989,0.015
BEN,1990,0.652
BEN,1991,0.377
BEN,1992,0.044
BEN,1993,0.593
BEN,1994,0.496
BEN,1995,0.468
BEN,1996,0.797
BEN,1997,0.645
BEN,1998,1.12
BEN,1999,0.708
BEN,2000,0.542
BEN,2001,0.623
BEN,2002,0.811
BEN,2003,1.049
BEN,2004,0.828
BEN,2005,1.201
BEN,2006,1.136
BEN,2007,0.927
BEN,2008,0.731
BEN,2009,1.066
BEN,2010,1.349
BEN,2011,1.074
BEN,2012,0.719
BEN,2013,0.989
BEN,2014,1.087
BEN,2015,1.317
BEN,2016,1.248
BEN,2017,1.372
BEN,2018,1.233
BEN,2019,1.329
BEN,2020,1.236
BTN,1970,-0.029
BTN,1971,-0.247
BTN,1972,-0.03
BTN,1973,0.292
BTN,1974,0.156
BTN,1975,0.096
BTN,1976,-0.071
BTN,1977,-0.067
BTN,1978,-0.238
BTN,1979,0.371
BTN,1980,0.058
BTN,1981,0.148
BTN,1982,-0.151
BTN,1983,-0.329
BTN,1984,-0.114
BTN,1985,0.04
BTN,1986,-0.133
BTN,1987,0.181
BTN,1988,0.487
BTN,1989,0.16
BTN,1990,-0.157
BTN,1991,0.078
BTN,1992,-0.287
BTN,1993,-0.356
BTN,1994,0.214
BTN,1995,0.412
BTN,1996,0.203
BTN,1997,-0.424
BTN,1998,0.688
BTN,1999,0.87
BTN,2000,0.048
BTN,2001,0.569
BTN,2002,0.366
BTN,2003,0.407
BTN,2004,0.382
BTN,2005,0.656
BTN,2006,0.872
BTN,2007,0.9
BTN,2008,0.482
BTN,2009,1.326
BTN,2010,1.137
BTN,2011,0.465
BTN,2012,0.365
BTN,2013,0.667
BTN,2014,0.758
BTN,2015,0.88
BTN,2016,1.312
BTN,2017,1.304
BTN,2018,1.212
BTN,2019,1.127
BTN,2020,0.966
BOL,1970,0.164
BOL,1971,-0.617
BOL,1972,0.058
BOL,1973,0.145
BOL,1974,-0.222
BOL,1975,-0.163
BOL,1976,-0.23
BOL,1977,0.233
BOL,1978,0.227
BOL,1979,0.117
BOL,1980,0.181
BOL,1981,0.11
BOL,1982,0.274
BOL,1983,0.482
BOL,1984,0.308
BOL,1985,0.433
BOL,1986,0.523
BOL,1987,0.756
BOL,1988,0.347
BOL,1989,0.085
BOL,1990,0.145
BOL,1991,0.593
BOL,1992,0.038
BOL,1993,0.402
BOL,1994,0.913
BOL,1995,0.797
BOL,1996,0.372
BOL,1997,0.938
BOL,1998,0.935
BOL,1999,0.301
BOL,2000,0.274
BOL,2001,0.432
BOL,2002,0.741
BOL,2003,0.479
BOL,2004,0.61
BOL,2005,0.553
BOL,2006,0.704
BOL,2007,0.313
BOL,2008,0.155
BOL,2009,0.493
BOL,2010,0.51
BOL,2011,0.942
BOL,2012,0.674
BOL,2013,0.419
BOL,2014,0.811
BOL,2015,1.286
BOL,2016,0.514
BOL,2017,0.716
BOL,2018,0.285
BOL,2019,0.713
BOL,2020,1.167
BIH,1992,0.682
BIH,1993,0.279
BIH,1994,1.721
BIH,1995,0.316
BIH,1996,-0.011
BIH,1997,0.146
BIH,1998,1.094
BIH,1999,0.646
